,0,1,2,3,4,5
44,1.0,1.0,1.0,0.0,0.0,1.0
45,1.0,1.0,1.0,0.0,1.0,0.0
46,0.0,1.0,0.0,0.0,1.0,1.0
47,1.0,1.0,0.0,1.0,0.0,1.0
48,1.0,1.0,0.0,0.0,0.0,0.0
49,1.0,1.0,1.0,0.0,0.0,0.0
50,1.0,1.0,0.0,0.0,0.0,0.0
51,0.0,1.0,1.0,0.0,0.0,1.0
52,1.0,1.0,0.0,0.0,0.0,0.0
53,1.0,1.0,0.0,0.0,0.0,0.0
54,1.0,1.0,0.0,0.0,1.0,0.0
55,1.0,1.0,0.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,0.0,0.0
57,1.0,1.0,0.0,0.0,0.0,0.0
58,1.0,1.0,0.0,0.0,0.0,1.0
59,1.0,0.0,0.0,1.0,0.0,1.0
60,1.0,0.0,1.0,0.0,0.0,1.0
61,0.0,1.0,1.0,1.0,0.0,1.0
62,1.0,1.0,1.0,0.0,0.0,0.0
63,1.0,1.0,1.0,0.0,0.0,0.0
64,1.0,0.0,1.0,0.0,0.0,1.0
65,0.0,1.0,0.0,0.0,0.0,1.0
66,1.0,1.0,1.0,1.0,1.0,0.0
67,1.0,1.0,1.0,0.0,0.0,0.0
68,1.0,0.0,1.0,0.0,0.0,1.0
69,1.0,1.0,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0,0.0,0.0
71,0.0,1.0,1.0,1.0,0.0,0.0
72,1.0,0.0,1.0,0.0,0.0,0.0
73,1.0,1.0,1.0,0.0,1.0,0.0
74,1.0,1.0,0.0,0.0,1.0,0.0
75,0.0,1.0,1.0,1.0,0.0,0.0
76,0.0,1.0,1.0,0.0,0.0,0.0
77,0.0,1.0,1.0,1.0,0.0,1.0
78,1.0,1.0,0.0,0.0,0.0,0.0
79,1.0,1.0,0.0,0.0,0.0,0.0
80,0.0,1.0,0.0,0.0,1.0,1.0
81,1.0,1.0,1.0,0.0,0.0,1.0
82,1.0,1.0,1.0,0.0,0.0,1.0
83,0.0,1.0,1.0,0.0,0.0,0.0
84,1.0,1.0,1.0,0.0,0.0,1.0
85,0.0,0.0,0.0,0.0,0.0,1.0
86,1.0,1.0,0.0,0.0,0.0,0.0
87,1.0,1.0,0.0,0.0,0.0,0.0
88,0.0,1.0,0.0,1.0,0.0,0.0
89,0.0,1.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,1.0,0.0
91,0.0,1.0,1.0,1.0,0.0,0.0
92,0.0,1.0,1.0,1.0,0.0,1.0
93,1.0,1.0,1.0,0.0,0.0,0.0
94,1.0,0.0,1.0,1.0,0.0,0.0
95,0.0,1.0,1.0,0.0,0.0,0.0
96,0.0,1.0,0.0,0.0,1.0,0.0
97,1.0,1.0,1.0,1.0,0.0,0.0
98,0.0,1.0,1.0,1.0,0.0,0.0
99,0.0,1.0,1.0,0.0,0.0,1.0
100,1.0,1.0,1.0,0.0,0.0,0.0
101,1.0,0.0,1.0,0.0,0.0,0.0
102,1.0,0.0,1.0,0.0,0.0,0.0
103,0.0,1.0,1.0,1.0,0.0,1.0
104,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,1.0,1.0,0.0,0.0,0.0
106,1.0,0.0,1.0,0.0,1.0,1.0
107,0.0,0.0,0.0,0.0,1.0,0.0
108,1.0,1.0,1.0,0.0,0.0,1.0
109,1.0,1.0,1.0,1.0,0.0,0.0
110,1.0,0.0,0.0,0.0,0.0,1.0
111,1.0,1.0,0.0,0.0,0.0,0.0
112,0.0,1.0,0.0,0.0,1.0,0.0
113,0.0,1.0,1.0,0.0,0.0,0.0
114,1.0,1.0,0.0,0.0,0.0,0.0
115,1.0,1.0,0.0,0.0,0.0,0.0
116,0.0,1.0,1.0,0.0,0.0,0.0
117,1.0,1.0,1.0,0.0,1.0,0.0
118,0.0,1.0,0.0,0.0,0.0,0.0
119,0.0,0.0,1.0,0.0,0.0,0.0
120,0.0,1.0,0.0,1.0,0.0,0.0
121,1.0,1.0,1.0,1.0,0.0,0.0
122,0.0,1.0,1.0,1.0,1.0,0.0
123,0.0,1.0,1.0,0.0,0.0,1.0
124,1.0,1.0,0.0,0.0,0.0,0.0
125,0.0,1.0,1.0,1.0,0.0,0.0
126,0.0,1.0,0.0,1.0,0.0,0.0
127,1.0,1.0,1.0,0.0,0.0,1.0
128,1.0,1.0,0.0,1.0,0.0,0.0
129,0.0,1.0,1.0,0.0,0.0,0.0
130,1.0,1.0,0.0,0.0,1.0,0.0
131,0.0,0.0,0.0,0.0,1.0,0.0
132,0.0,1.0,1.0,1.0,0.0,0.0
133,0.0,0.0,1.0,1.0,0.0,0.0
134,1.0,1.0,1.0,0.0,0.0,0.0
135,1.0,1.0,0.0,1.0,0.0,0.0
136,1.0,0.0,1.0,1.0,0.0,0.0
137,0.0,1.0,0.0,0.0,0.0,0.0
138,1.0,1.0,1.0,0.0,0.0,1.0
139,0.0,1.0,1.0,1.0,0.0,0.0
140,1.0,1.0,0.0,0.0,0.0,0.0
141,0.0,1.0,1.0,0.0,1.0,1.0
142,0.0,0.0,1.0,1.0,0.0,0.0
143,0.0,1.0,1.0,1.0,0.0,0.0
144,0.0,1.0,0.0,0.0,0.0,0.0
145,0.0,1.0,0.0,1.0,0.0,1.0
146,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,1.0,0.0,1.0,0.0,0.0
148,0.0,1.0,0.0,1.0,0.0,0.0
149,0.0,1.0,0.0,0.0,1.0,0.0
150,0.0,1.0,0.0,1.0,0.0,0.0
151,0.0,1.0,1.0,1.0,0.0,0.0
152,1.0,0.0,0.0,0.0,0.0,0.0
153,1.0,1.0,1.0,1.0,1.0,0.0
154,1.0,1.0,0.0,0.0,0.0,0.0
155,1.0,1.0,1.0,1.0,1.0,0.0
156,0.0,1.0,1.0,0.0,0.0,1.0
157,1.0,0.0,0.0,0.0,1.0,0.0
158,1.0,1.0,1.0,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0
160,1.0,1.0,1.0,0.0,1.0,0.0
161,0.0,0.0,0.0,1.0,0.0,0.0
162,1.0,1.0,0.0,0.0,0.0,0.0
163,0.0,1.0,0.0,1.0,1.0,0.0
164,0.0,1.0,0.0,0.0,0.0,0.0
165,0.0,1.0,0.0,0.0,1.0,0.0
166,0.0,1.0,0.0,1.0,0.0,0.0
167,0.0,1.0,1.0,1.0,1.0,0.0
168,0.0,0.0,1.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,1.0,1.0,0.0,0.0,0.0
171,0.0,1.0,0.0,0.0,1.0,1.0
172,1.0,1.0,1.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0,1.0
174,1.0,1.0,1.0,1.0,0.0,0.0
175,0.0,1.0,0.0,0.0,0.0,0.0
176,0.0,0.0,0.0,1.0,0.0,0.0
177,0.0,1.0,1.0,1.0,0.0,0.0
178,0.0,0.0,0.0,1.0,0.0,0.0
179,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,1.0,0.0,0.0
181,0.0,0.0,1.0,1.0,0.0,0.0
182,0.0,1.0,1.0,1.0,0.0,0.0
183,1.0,0.0,0.0,1.0,1.0,0.0
184,0.0,1.0,1.0,1.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0
186,1.0,1.0,1.0,1.0,0.0,0.0
187,0.0,1.0,0.0,0.0,0.0,0.0
188,0.0,1.0,1.0,0.0,0.0,0.0
189,0.0,0.0,1.0,1.0,0.0,0.0
190,1.0,1.0,1.0,0.0,0.0,0.0
191,0.0,1.0,0.0,0.0,1.0,0.0
192,0.0,0.0,1.0,1.0,0.0,0.0
193,1.0,0.0,1.0,1.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,1.0,1.0,1.0,0.0
196,1.0,1.0,0.0,0.0,0.0,0.0
197,0.0,0.0,1.0,0.0,1.0,0.0
198,1.0,0.0,1.0,0.0,0.0,0.0
199,0.0,0.0,1.0,0.0,0.0,0.0
